day	hour	value
1	1	0
1	2	0
1	3	0
1	4	4.5
1	5	5
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
1	25	0
1	26	0
1	27	0
1	28	0
1	29	0
2	1	0
2	2	0
2	3	0
2	4	4.5
2	5	5
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
2	15	0
2	16	0
2	17	3.5
2	18	0
2	19	3.5
2	20	0
2	21	5
2	22	0
2	23	0
2	24	0
2	25	0
2	26	0
2	27	5
2	28	0
2	29	0
3	1	0
3	2	0
3	3	0
3	4	4.5
3	5	5
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
3	25	0
3	26	0
3	27	0
3	28	0
3	29	0
4	1	5
4	2	0
4	3	0
4	4	4.5
4	5	2
4	6	0
4	7	0
4	8	5
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	0
4	18	0
4	19	0
4	20	0
4	21	5
4	22	0
4	23	0
4	24	0
4	25	0
4	26	0
4	27	0
4	28	0
4	29	0
5	1	0
5	2	0
5	3	2
5	4	2
5	5	0 
5	6	5
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	0
5	15	0
5	16	0
5	17	2
5	18	2
5	19	0
5	20	0
5	21	0
5	22	0
5	23	5
5	24	0
5	25	2
5	26	0
5	27	5
5	28	0
5	29	0
6	1	0
6	2	0
6	3	0
6	4	5
6	5	2
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	3.5
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
6	25	0
6	26	0
6	27	0
6	28	0
6	29	0
7	1	0
7	2	5
7	3	0
7	4	2
7	5	2
7	6	0
7	7	2
7	8	0
7	9	5
7	10	5
7	11	2
7	12	2
7	13	2
7	14	2
7	15	2
7	16	0
7	17	2
7	18	0
7	19	5
7	20	0
7	21	0
7	22	0
7	23	2
7	24	2
7	25	5
7	26	3.5
7	27	5
7	28	5
7	29	0
