source,target,value
 1;108;84(1),NoHCC(2),1
 1;12;71(1),NoHCC(2),1
 1;186;9;96(1),NoHCC(2),1
 10;100;108;135;186;85;96(1),NoHCC(2),1
 10;100;84(1),NoHCC(2),1
 10;107;80;99(1),NoHCC(2),1
 10;108;111;114;122;124;136;161;18;186;2;48;55;57;70;75;79;84;85;87;96;99(1),NoHCC(2),1
 10;108;161(1),NoHCC(2),1
 10;111(1),112(2),1
 10;111;124;169;186;96(1),NoHCC(2),1
 10;111;28(1),NoHCC(2),1
 10;135;186;2;84;99(1),NoHCC(2),1
 10;135;186;84(1),NoHCC(2),1
 10;161(1),NoHCC(2),2
 10;169;48(1),NoHCC(2),1
 10;18(1),NoHCC(2),1
 10;188;79(1), 10;186;79(2),2
 10;19;80(1),NoHCC(2),1
 10;2;39;70;84(1),NoHCC(2),1
 10;23(1),NoHCC(2),1
 10;48(1),NoHCC(2),4
 10;58(1),10(2),1
 10;58(1),NoHCC(2),1
 10;6(1),10(2),1
 10;71(1),NoHCC(2),1
 10;73(1),NoHCC(2),1
 10;75(1),NoHCC(2),1
 10;75;77(1),NoHCC(2),1
 10;79(1),NoHCC(2),1
 10;79;80(1),NoHCC(2),1
 10;79;96(1),NoHCC(2),1
 10;79;99(1),NoHCC(2),1
 10;80(1),NoHCC(2),1
 10;82(1),NoHCC(2),1
 10;85(1),NoHCC(2),1
 10;96(1),NoHCC(2),2
 10;99(1),NoHCC(2),1
 100;103(1),NoHCC(2),1
 100;103;108;19(1),NoHCC(2),1
 100;103;108;96(1),NoHCC(2),1
 100;103;112;186;84;85(1),NoHCC(2),1
 100;103;161(1),NoHCC(2),1
 100;103;78;79(1),NoHCC(2),1
 100;103;96(1),NoHCC(2),1
 100;106(1),NoHCC(2),1
 100;106;186;23;39(1),NoHCC(2),1
 100;107(1),NoHCC(2),2
 100;107;114;134;186;33;39;8;84;85;96(1),NoHCC(2),1
 100;107;115;135;176;186;23;46;8(1),NoHCC(2),1
 100;107;12;85;96(1),NoHCC(2),1
 100;107;134;70;84;96(1),NoHCC(2),1
 100;108(1),NoHCC(2),6
 100;108;112;186;40;84;85;9;96(1),NoHCC(2),1
 100;108;114;135;188;21;84;86;96(1),10(2),1
 100;108;135;33;48;84;96(1),NoHCC(2),1
 100;108;186;84;85;96(1),NoHCC(2),1
 100;108;2;33;84;96(1),NoHCC(2),1
 100;108;85(1),NoHCC(2),2
 100;108;85;96(1),NoHCC(2),1
 100;108;96(1),NoHCC(2),1
 100;11(1),NoHCC(2),2
